team_name,team_abv,ballpark,ballpark_lat,ballpark_long,left_field_ft,center_field_ft,right_field_ft,min_wall_height_ft,max_wall_height_ft,avg_temp_f,elevation_ft,roof_pct,daytime_pct,home_wins,home_losses,away_wins,away_losses,runs_scored_home,runs_scored_away,home_runs_home,home_runs_away,walks_home,walks_away,strikeouts_home,strikeouts_away,seat_capacity,avg_attendance_home,avg_attendance_away,miles_traveled
Atlanta Braves,ATL,Truist Park,33.89,-84.468,335,400,325,11,15,79.2,1001,0,0.31,55,26,46,35,395,394,125,118,238,262,834,720,41084,38641,28216,30220
Arizona Diamondbacks,AZ,Chase Field,33.445278,-112.066944,328,407,335,7.6,25,80.8,1086,0.81,0.31,40,41,34,37,353,349,71,102,250,254,633,583,48405,19817,29182,35924
Baltimore Orioles,BAL,Oriole Park at Camden Yards,39.283889,-76.621667,333,400,318,7,21,76.4,33,0,0.35,45,36,38,43,343,331,79,92,230,213,616,598,44970,17543,26132,27734
Boston Red Sox,BOS,Fenway Park,42.34625,-71.09775,310,420,302,3,37,69.5,21,0,0.31,43,38,35,46,392,343,86,69,263,263,669,677,37755,32408,26106,31572
Chicago Cubs,CHC,Wrigley Field,41.948056,-87.655556,355,400,353,11.5,15,70.2,595,0,0.55,37,44,37,44,324,333,73,86,263,277,722,661,41649,32305,29044,26828
Cincinnati Reds,CIN,Great American Ball Park,39.0975,-84.506667,328,404,325,8,12,77.9,535,0,0.5,33,48,29,52,367,281,89,67,298,314,750,664,43500,17447,30005,25574
Cleveland Guardians,CLE,Progressive Field,41.495833,-81.685278,325,405,325,9,19,70.8,653,0,0.36,46,35,46,35,325,373,50,77,228,207,716,674,34830,17050,25315,28771
Colorado Rockies,COL,Coors Field,39.756111,-104.994167,347,415,350,8,17,75.4,5190,0,0.38,41,40,27,54,456,242,98,51,245,294,581,606,46897,32467,27801,29708
Chicago White Sox,CWS,Guaranteed Rate Field,41.83,-87.633889,330,400,335,8,8,71.6,595,0,0.38,37,44,44,37,331,355,77,72,273,260,739,711,40615,24704,22118,30135
Detroit Tigers,DET,Comerica Park,42.339167,-83.048611,345,420,330,7,9,73.3,600,0,0.61,36,46,30,50,279,278,51,59,263,248,601,594,41083,19634,23612,34104
Houston Astros,HOU,Minute Maid Park,29.756944,-95.355556,315,409,326,7,21,73,45,0.99,0.32,55,26,51,30,368,369,116,98,217,241,834,690,41168,33197,25112,37977
Kansas City Royals,KC,Kauffman Stadium,39.051,-94.48,330,410,330,9,9,77.4,856,0,0.49,39,42,26,55,335,305,65,73,297,292,585,606,37903,15974,22474,28719
